purchase_value,age,class,hour_of_day,time_diff,source_Ads,source_Direct,source_SEO,browser_Chrome,browser_FireFox,browser_IE,browser_Opera,browser_Safari,sex_F,sex_M
28.0,23.0,0.0,19.0,6454093.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
65.0,21.0,0.0,17.0,4921159.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
31.0,34.0,0.0,1.0,6691714.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,24.0,0.0,18.0,9889466.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
47.0,28.0,0.0,6.0,1164776.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20.0,40.0,0.0,2.0,2108805.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
24.0,23.0,0.0,23.0,6582922.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
68.0,44.0,0.0,13.0,2697026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
28.0,44.0,0.0,16.0,3586504.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
63.0,24.0,0.0,2.0,9529523.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
58.0,23.0,0.0,6.0,3965452.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,26.0,0.0,17.0,8855557.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
35.0,34.0,0.0,11.0,8857768.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
63.0,45.0,0.0,20.0,9372973.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
36.0,28.0,0.0,19.0,5905665.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,33.0,0.0,12.0,186276.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
33.0,24.0,0.0,21.0,4378673.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18.0,37.0,0.0,15.0,1637801.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
39.0,40.0,0.0,12.0,7606485.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
54.0,47.0,0.0,7.0,2236768.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
41.0,19.0,0.0,13.0,10296954.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
68.0,33.0,0.0,21.0,1890694.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
19.0,21.0,0.0,22.0,4013165.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41.0,28.0,0.0,7.0,3763622.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
27.0,36.0,0.0,15.0,4122926.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
33.0,33.0,0.0,1.0,6221021.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
45.0,39.0,0.0,13.0,4849757.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42.0,28.0,0.0,14.0,8450193.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
45.0,18.0,0.0,11.0,5166513.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.0,35.0,0.0,17.0,5886983.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
32.0,36.0,0.0,13.0,1425431.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
49.0,40.0,0.0,0.0,8584576.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24.0,37.0,0.0,15.0,2135163.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
32.0,30.0,0.0,20.0,5037549.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42.0,32.0,0.0,3.0,3268674.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,42.0,0.0,14.0,1601126.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
98.0,34.0,0.0,13.0,8968736.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
47.0,39.0,0.0,21.0,4719279.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
19.0,26.0,0.0,11.0,3476044.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30.0,53.0,0.0,17.0,9248606.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
26.0,46.0,0.0,22.0,6872686.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23.0,27.0,0.0,4.0,4320477.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
60.0,23.0,0.0,23.0,4827980.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
59.0,40.0,0.0,4.0,3127473.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26.0,26.0,0.0,10.0,1531639.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
36.0,24.0,0.0,16.0,2807938.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
47.0,42.0,0.0,6.0,1430131.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
32.0,42.0,0.0,1.0,1148281.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35.0,32.0,0.0,0.0,6679122.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
44.0,31.0,0.0,7.0,907138.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
62.0,30.0,0.0,0.0,1106937.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
55.0,26.0,0.0,9.0,8062332.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
15.0,32.0,0.0,2.0,8400894.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,31.0,0.0,19.0,1897847.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
46.0,45.0,0.0,6.0,7413362.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
59.0,31.0,0.0,22.0,1590364.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28.0,18.0,0.0,2.0,2249241.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
61.0,28.0,0.0,9.0,4209965.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
44.0,34.0,0.0,6.0,10138959.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
46.0,34.0,0.0,21.0,8672173.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12.0,36.0,0.0,8.0,6277407.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29.0,36.0,0.0,8.0,886983.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23.0,24.0,0.0,19.0,2406143.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
86.0,33.0,0.0,21.0,2047502.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
51.0,21.0,0.0,4.0,4957768.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
37.0,26.0,0.0,13.0,7354320.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
32.0,25.0,0.0,3.0,385886.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
26.0,34.0,0.0,11.0,4059235.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41.0,31.0,0.0,14.0,9401494.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
29.0,21.0,0.0,1.0,2173131.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
38.0,31.0,0.0,6.0,2987060.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
16.0,33.0,0.0,2.0,7515857.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
38.0,33.0,0.0,2.0,7127928.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31.0,43.0,0.0,17.0,1004719.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
48.0,40.0,0.0,1.0,5549059.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
15.0,19.0,0.0,9.0,6654598.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42.0,35.0,0.0,5.0,5992936.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
53.0,38.0,0.0,3.0,9695763.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
33.0,33.0,0.0,18.0,2022655.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
54.0,42.0,0.0,22.0,200620.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
40.0,20.0,0.0,11.0,243820.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
65.0,32.0,0.0,23.0,6632733.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,26.0,0.0,6.0,7325086.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
56.0,22.0,0.0,12.0,8081880.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
34.0,42.0,0.0,19.0,9465315.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
54.0,29.0,0.0,15.0,6898969.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,26.0,0.0,23.0,397933.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
14.0,46.0,0.0,14.0,8406116.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17.0,28.0,0.0,1.0,2531692.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
21.0,21.0,0.0,18.0,106280.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
34.0,26.0,0.0,15.0,439694.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17.0,35.0,0.0,0.0,6244762.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,31.0,0.0,21.0,8243366.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
21.0,36.0,0.0,16.0,4953870.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
26.0,37.0,0.0,11.0,1862730.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
41.0,32.0,0.0,3.0,7671816.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
19.0,49.0,0.0,18.0,4514032.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
71.0,29.0,0.0,23.0,6744202.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,24.0,0.0,3.0,6282638.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
48.0,23.0,0.0,21.0,9614496.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
67.0,27.0,0.0,19.0,3106602.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
37.0,21.0,0.0,11.0,9735240.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
42.0,43.0,0.0,6.0,3773220.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
56.0,34.0,0.0,10.0,3639808.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,41.0,0.0,12.0,3098376.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
26.0,27.0,0.0,5.0,5155780.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
48.0,48.0,0.0,0.0,4159446.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
51.0,39.0,0.0,7.0,4991879.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
24.0,20.0,0.0,19.0,2952281.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
16.0,40.0,0.0,5.0,7789801.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
47.0,31.0,0.0,21.0,8810861.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40.0,33.0,0.0,10.0,138681.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
38.0,38.0,0.0,10.0,3458291.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
33.0,31.0,0.0,2.0,10173813.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
19.0,49.0,0.0,23.0,61267.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
54.0,36.0,0.0,23.0,3348335.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,32.0,0.0,21.0,622557.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19.0,41.0,0.0,18.0,3775067.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
50.0,32.0,0.0,17.0,233527.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41.0,38.0,0.0,15.0,470855.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31.0,28.0,0.0,20.0,9905915.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
21.0,27.0,0.0,10.0,9929813.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18.0,20.0,0.0,10.0,2834083.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17.0,30.0,0.0,1.0,1198088.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
38.0,27.0,0.0,11.0,3589130.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
52.0,23.0,0.0,5.0,8695637.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
48.0,20.0,0.0,6.0,6403121.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24.0,43.0,0.0,20.0,3825060.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
75.0,38.0,0.0,16.0,5507853.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,40.0,0.0,4.0,473212.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
93.0,47.0,0.0,5.0,6620286.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
54.0,26.0,0.0,10.0,7252147.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42.0,20.0,0.0,3.0,8625896.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
27.0,39.0,0.0,7.0,5614151.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
24.0,37.0,0.0,18.0,5738121.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
24.0,36.0,0.0,4.0,8424683.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
34.0,50.0,0.0,19.0,1380146.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,38.0,0.0,2.0,4249383.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10.0,47.0,0.0,3.0,8295935.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
23.0,25.0,0.0,13.0,4379945.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
48.0,26.0,0.0,4.0,9995089.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18.0,32.0,0.0,21.0,8988431.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
26.0,28.0,0.0,9.0,4800920.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
21.0,22.0,0.0,7.0,5815648.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
56.0,20.0,0.0,9.0,5879454.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
25.0,19.0,0.0,8.0,8667290.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
13.0,31.0,0.0,15.0,6906939.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20.0,33.0,0.0,3.0,1068663.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11.0,30.0,0.0,11.0,6569090.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18.0,29.0,0.0,22.0,194411.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
36.0,31.0,0.0,21.0,3676909.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
60.0,27.0,0.0,18.0,1363176.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,26.0,0.0,16.0,9169220.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20.0,49.0,0.0,17.0,9624235.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
21.0,34.0,0.0,10.0,2349123.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18.0,28.0,0.0,12.0,6860741.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,37.0,0.0,10.0,1562728.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20.0,33.0,0.0,9.0,5096827.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31.0,38.0,0.0,22.0,2826515.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
61.0,38.0,0.0,22.0,6881468.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
39.0,34.0,0.0,5.0,366057.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
14.0,31.0,0.0,15.0,1439065.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12.0,40.0,0.0,2.0,5500262.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30.0,26.0,0.0,1.0,4339597.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50.0,36.0,0.0,20.0,9402832.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,29.0,0.0,11.0,8516210.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,43.0,0.0,19.0,8712827.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
66.0,35.0,0.0,23.0,7461541.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
35.0,36.0,0.0,23.0,472612.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
30.0,35.0,0.0,17.0,842750.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
13.0,37.0,0.0,13.0,2436406.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
49.0,46.0,0.0,21.0,9466929.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
65.0,24.0,0.0,8.0,5627051.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
47.0,33.0,0.0,14.0,835580.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
41.0,25.0,0.0,22.0,750216.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
94.0,47.0,0.0,12.0,5397941.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
47.0,39.0,0.0,18.0,9923930.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,30.0,0.0,18.0,7786503.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
26.0,38.0,0.0,11.0,4684507.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
57.0,23.0,0.0,15.0,5391142.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
63.0,27.0,0.0,11.0,9915021.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
47.0,19.0,0.0,8.0,7278661.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37.0,27.0,0.0,17.0,569784.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,32.0,0.0,20.0,313728.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
51.0,48.0,0.0,22.0,4952309.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30.0,22.0,0.0,1.0,890020.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,34.0,0.0,7.0,8797068.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
37.0,32.0,0.0,5.0,10059951.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
43.0,20.0,0.0,4.0,1682551.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,40.0,0.0,12.0,4617477.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
33.0,45.0,0.0,19.0,5930204.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
37.0,43.0,0.0,20.0,1266843.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
43.0,23.0,0.0,11.0,6747143.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
48.0,45.0,0.0,14.0,8175206.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
